id,label,timeset,v_name,degree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
n103,クレーム,,クレーム,1,7.0,6.0,0.2771488469601677,0.29006555723651045,0.0,0.0048327483,0.0048327483,25,3.757298336079331E-4,0,0.0,0,0.010899440092458228
n104,グループ,,グループ,5,33.0,6.0,0.2972122302158273,0.3169692385274843,0.010873973646938052,0.009162232,0.009162232,4,0.0021457969896717367,0,0.0,0,0.023309128952154798
n105,グロースハック,,グロースハック,3,46.0,7.0,0.2796108291032149,0.3029644838268136,0.002114475065788279,0.0066776793,0.0066776793,31,9.63548316500006E-4,0,0.0,0,0.020257066302839383
n106,ゲーム,,ゲーム,2,34.0,7.0,0.2712351251538777,0.28739644117858926,0.0,0.0032079462,0.0032079462,31,7.449994683953129E-4,0,1.0,1,0.010011429399784636
n107,コピペ,,コピペ,17,226.0,6.0,0.373868778280543,0.40824508320726277,0.0040185474579251595,0.08671327,0.08671327,27,0.0035177843773330475,0,0.19852941176470587,27,0.20532877000129343
n108,コピペアマニュアル,,コピペアマニュアル,1,8.0,6.0,0.27224052718286657,0.28524962178517393,0.0,0.004228732,0.004228732,19,3.854007951770613E-4,0,0.0,0,0.009761635206566364
n109,コピペチェックツール,,コピペチェックツール,1,13.0,7.0,0.266317485898469,0.2775484475181903,0.0,0.0024501139,0.0024501139,27,4.3306073318976756E-4,0,0.0,0,0.005733624485578737
n110,コピー,,コピー,1,6.0,1.0,1.0,1.0,0.0,0.0,0.0,2,0.0013141289683464077,2,0.0,0,5.361701816155836E-4
n111,コミュニケーション,,コミュニケーション,1,7.0,1.0,1.0,1.0,0.0,0.0,0.0,3,0.0013141289683464077,3,0.0,0,5.361701816155836E-4
n112,コーポレート,,コーポレート,2,14.0,8.0,0.21502927781392323,0.22283877242273556,0.0025640726798055965,1.9659143E-4,1.9659143E-4,27,0.0011620690343911173,0,0.0,0,0.0014970144945625988
n113,サイト,,サイト,37,477.0,6.0,0.3856476079346558,0.43013111447302044,0.03147607365886702,0.12292933,0.12292933,4,0.008081988736839955,0,0.0873015873015873,55,0.3094989716550716
