id,label,timeset,v_name,modularity_class,degree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,pageranks,componentnumber,clustering,triangles,eigencentrality
n189,以外,,以外,41,1,5.0,6.0,0.3299646286003032,0.352194997447679,0.0,0.018960351,0.018960351,3.911678773603415E-4,0,0.0,0,0.04637986567976436
n190,企業,,企業,34,2,12.0,6.0,0.2934831460674157,0.3125319040326705,8.778103501461239E-5,0.010440394,0.010440394,6.206236230561866E-4,0,0.0,0,0.02476606501446223
n191,企画,,企画,9,4,141.0,7.0,0.28086021505376346,0.2982024356450088,0.00225230291530433,0.004890239,0.004890239,0.001142504860839514,0,0.16666666666666666,1,0.014739326748992065
n192,会社,,会社,44,8,130.0,6.0,0.33957358294331774,0.3674834099030134,8.021110490180693E-4,0.04093491,0.04093491,0.001795422008754311,0,0.14285714285714285,4,0.0989393494795
n193,会議,,会議,37,3,49.0,7.0,0.26320032245062475,0.27786042441478853,0.0026992449541603744,0.0040146345,0.0040146345,0.0011625095924899583,0,0.0,0,0.010201626273909078
n194,位記,,位記,18,1,11.0,8.0,0.2186872069658406,0.22646576241522606,0.0,3.2678645E-4,3.2678645E-4,5.589030251315074E-4,0,0.0,0,0.0011902084015019698
n195,住まい,,住まい,11,1,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0013321807151073365,7,0.0,0,5.351872668406739E-4
n196,体制,,体制,24,9,68.0,6.0,0.31576402321083175,0.34093925472179815,0.004155257686512615,0.031887006,0.031887006,0.0021397396813988096,0,0.1388888888888889,5,0.07413304608326374
n197,体温,,体温,12,1,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0013321807151073365,8,0.0,0,5.351872668406739E-4
n198,作り,,作り,13,1,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0013321807151073365,9,0.0,0,5.351872668406739E-4
